,interval_name,start times,end times
0,night1,1976-08-15 06:45:00,1976-08-29 23:48:45
1,sunrise1,1976-08-29 23:48:45,1976-09-06 09:11:15
2,sunset1,1976-09-06 09:11:15,1976-09-13 18:33:45
3,night2,1976-09-13 18:33:45,1976-09-28 11:37:30
4,sunrise2,1976-09-28 11:37:30,1976-10-05 21:33:45
5,sunset2,1976-10-05 21:33:45,1976-10-13 07:30:00
6,night3,1976-10-13 07:30:00,1976-10-28 00:00:00
7,sunrise3,1976-10-28 00:00:00,1976-11-04 10:41:15
8,sunset3,1976-11-04 10:41:15,1976-11-11 21:22:30
9,night4,1976-11-11 21:22:30,1976-11-26 13:18:45
10,sunrise4,1976-11-26 13:18:45,1976-12-04 00:33:45
11,sunset4,1976-12-04 00:33:45,1976-12-11 11:48:45
12,night5,1976-12-11 11:48:45,1976-12-26 03:11:15
13,sunrise5,1976-12-26 03:11:15,1977-01-02 15:00:00
14,sunset5,1977-01-02 15:00:00,1977-01-10 02:48:45
15,night6,1977-01-10 02:48:45,1977-01-24 17:37:30
16,sunrise6,1977-01-24 17:37:30,1977-02-01 05:15:00
17,sunset6,1977-02-01 05:15:00,1977-02-08 16:52:30
18,night7,1977-02-08 16:52:30,1977-02-23 08:15:00
19,sunrise7,1977-02-23 08:15:00,1977-03-02 19:07:30
20,sunset7,1977-03-02 19:07:30,1977-03-10 06:00:00
21,night8,1977-03-10 06:00:00,1977-03-24 22:18:45
22,sunrise8,1977-03-24 22:18:45,1977-04-01 08:26:15
23,sunset8,1977-04-01 08:26:15,1977-04-08 18:33:45
24,night9,1977-04-08 18:33:45,1977-04-23 11:15:00
25,sunrise9,1977-04-23 11:15:00,1977-04-26 00:00:00
