interval_name,start times,end times
night1,1976-08-15 06:45:00,1976-08-29 23:48:45
sunrise1,1976-08-29 23:48:45,1976-09-06 09:11:15
sunset1,1976-09-06 09:11:15,1976-09-13 18:33:45
night2,1976-09-13 18:33:45,1976-09-28 11:37:30
sunrise2,1976-09-28 11:37:30,1976-10-05 21:33:45
sunset2,1976-10-05 21:33:45,1976-10-13 07:30:00
night3,1976-10-13 07:30:00,1976-10-28 00:00:00
sunrise3,1976-10-28 00:00:00,1976-11-04 10:41:15
sunset3,1976-11-04 10:41:15,1976-11-11 21:22:30
night4,1976-11-11 21:22:30,1976-11-26 13:18:45
sunrise4,1976-11-26 13:18:45,1976-12-04 00:33:45
sunset4,1976-12-04 00:33:45,1976-12-11 11:48:45
night5,1976-12-11 11:48:45,1976-12-26 03:11:15
sunrise5,1976-12-26 03:11:15,1977-01-02 15:00:00
sunset5,1977-01-02 15:00:00,1977-01-10 02:48:45
night6,1977-01-10 02:48:45,1977-01-24 17:37:30
sunrise6,1977-01-24 17:37:30,1977-02-01 05:15:00
sunset6,1977-02-01 05:15:00,1977-02-08 16:52:30
night7,1977-02-08 16:52:30,1977-02-23 08:15:00
sunrise7,1977-02-23 08:15:00,1977-03-02 19:07:30
sunset7,1977-03-02 19:07:30,1977-03-10 06:00:00
night8,1977-03-10 06:00:00,1977-03-24 22:18:45
sunrise8,1977-03-24 22:18:45,1977-04-01 08:26:15
sunset8,1977-04-01 08:26:15,1977-04-08 18:33:45
night9,1977-04-08 18:33:45,1977-04-23 11:15:00
sunrise9,1977-04-23 11:15:00,1977-04-26 00:00:00
